City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
43,Vardo,70.3705,65,light snow,31.1107,28.09,Village Lamera
86,Serenje,-13.2325,87,clear sky,30.2352,56.61,املاکی علی
113,Nanga Eboko,4.6833,77,light rain,12.3667,75.4,One Tierra - Konnakad
116,Gagarin,55.5529,67,few clouds,34.9954,34.02,Faros Hotel Ayia Napa
203,Lipin Bor,60.2622,83,broken clouds,37.9763,29.86,Bozan Koyu Muhtarligi
210,Bosobolo,4.1833,71,overcast clouds,19.9,77.99,Salim home Kawath Bazar
221,Boende,-0.2167,83,few clouds,20.8667,73.58,Jenny chinis and fruit plaza hotel
240,Port Elizabeth,-33.918,78,clear sky,25.5701,61.09,بوم گردي واهگ
268,Xai-Xai,-25.0519,78,overcast clouds,33.6442,73.09,Hotel Shahzad International
293,Lodja,-3.4833,85,overcast clouds,23.4333,73.85,Dhansura Navivasahat
340,Pryshyb,47.2603,55,overcast clouds,35.3228,51.64,Sepinood Hotel
365,Luau,-10.7073,60,overcast clouds,22.2247,69.46,Jagdish solanki
433,Verkhnyaya Inta,65.9811,78,few clouds,60.3094,22.14,Heinänokka
451,Naryan-Mar,67.6713,94,overcast clouds,53.087,19.4,Hotel Level
460,Asau,46.4333,93,broken clouds,26.4,47.32,استراحة الدكتور عبدالله العطني
484,Salcininkai,54.3,64,few clouds,25.3833,42.89,حي دحلة الديبان بالعمودة
493,Luba,3.4568,82,few clouds,8.5547,80.98,trinco lucky 7 hotel
562,Wajid,3.8093,80,light rain,43.2471,76.48,Agrofirma Sauynshy
609,Luebo,-5.35,92,scattered clouds,21.4167,71.47,હવેલી
638,Mbuji-Mayi,-6.15,92,moderate rain,23.6,71.69,આઈ દુધળ ટૈડસ્ (cement) Dudkha
