,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Puerto Ayora,-0.7393,-90.3518,80.56,78,89,8.7,EC,2022-04-30 19:33:06,overcast clouds
1,Humaita,-7.5061,-63.0208,80.29,80,97,2.98,BR,2022-04-30 19:33:06,moderate rain
2,Carnarvon,-24.8667,113.6333,64.47,55,0,8.05,AU,2022-04-30 19:33:07,clear sky
3,Busselton,-33.65,115.3333,55.24,86,0,5.44,AU,2022-04-30 19:28:48,clear sky
4,Khatanga,71.9667,102.5,3.4,99,92,7.54,RU,2022-04-30 19:33:08,overcast clouds
5,Yellowknife,62.456,-114.3525,34.32,47,0,5.75,CA,2022-04-30 19:30:30,clear sky
6,Hobart,-42.8794,147.3294,57.25,78,100,10.36,AU,2022-04-30 19:33:08,overcast clouds
7,Faanui,-16.4833,-151.75,81.3,72,9,15.73,PF,2022-04-30 19:33:09,light rain
8,Jamestown,42.097,-79.2353,66.52,25,0,8.05,US,2022-04-30 19:31:08,clear sky
9,Pokaran,26.9167,71.9167,89.1,33,1,10.4,IN,2022-04-30 19:33:10,clear sky
10,Cheney,47.4874,-117.5758,45.99,91,100,12.66,US,2022-04-30 19:33:10,overcast clouds
11,Araceli,10.5529,119.9913,82.0,77,100,5.75,PH,2022-04-30 19:33:11,overcast clouds
12,Cape Town,-33.9258,18.4232,60.28,79,0,4.61,ZA,2022-04-30 19:33:11,clear sky
13,Rikitea,-23.1203,-134.9692,75.87,75,53,12.26,PF,2022-04-30 19:28:53,light rain
14,Port Elizabeth,-33.918,25.5701,61.32,78,0,16.11,ZA,2022-04-30 19:28:53,clear sky
15,Alofi,-19.0595,-169.9187,75.09,94,94,5.75,NU,2022-04-30 19:33:12,overcast clouds
16,Bandarbeyla,9.4942,50.8122,84.09,74,79,5.7,SO,2022-04-30 19:33:13,broken clouds
17,Nantucket,41.2835,-70.0995,55.54,50,0,12.66,US,2022-04-30 19:29:04,clear sky
18,Mersin,36.862,34.6509,65.1,80,100,5.35,TR,2022-04-30 19:33:13,overcast clouds
19,Atuona,-9.8,-139.0333,78.89,76,7,13.38,PF,2022-04-30 19:30:32,clear sky
20,Caravelas,-17.7125,-39.2481,76.86,74,2,4.72,BR,2022-04-30 19:33:14,clear sky
21,Butaritari,3.0707,172.7902,80.82,82,74,13.73,KI,2022-04-30 19:33:15,broken clouds
22,Narsaq,60.9167,-46.05,55.62,58,16,3.56,GL,2022-04-30 19:29:43,few clouds
23,Tasiilaq,65.6145,-37.6368,41.16,63,10,0.56,GL,2022-04-30 19:33:15,clear sky
24,Fortuna,40.5982,-124.1573,55.92,83,100,4.61,US,2022-04-30 19:30:20,overcast clouds
25,Punta Arenas,-53.15,-70.9167,44.71,76,40,9.22,CL,2022-04-30 19:30:25,scattered clouds
26,Thinadhoo,0.5333,72.9333,85.91,68,73,15.46,MV,2022-04-30 19:33:16,broken clouds
27,Camapua,-19.5314,-54.0439,86.52,39,25,4.16,BR,2022-04-30 19:33:17,scattered clouds
28,Ushuaia,-54.8,-68.3,40.66,87,0,3.44,AR,2022-04-30 19:33:17,clear sky
29,Mataura,-46.1927,168.8643,64.47,86,100,3.8,NZ,2022-04-30 19:33:18,overcast clouds
30,Half Moon Bay,37.4636,-122.4286,74.88,72,100,19.57,US,2022-04-30 19:33:19,overcast clouds
31,Dakar,14.6937,-17.4441,74.28,83,0,9.22,SN,2022-04-30 19:33:19,clear sky
32,Nosy Varika,-20.5833,48.5333,70.83,80,38,4.99,MG,2022-04-30 19:33:20,scattered clouds
33,Codrington,-38.2667,141.9667,57.61,83,100,13.51,AU,2022-04-30 19:33:20,overcast clouds
34,Hermanus,-34.4187,19.2345,58.93,86,79,3.0,ZA,2022-04-30 19:33:21,broken clouds
35,Marsh Harbour,26.5412,-77.0636,72.19,83,100,19.93,BS,2022-04-30 19:33:22,overcast clouds
36,Esperance,-33.8667,121.9,55.24,72,0,6.78,AU,2022-04-30 19:28:55,clear sky
37,Lai,9.3952,16.2989,93.15,32,64,2.35,TD,2022-04-30 19:33:22,broken clouds
38,Beringovskiy,63.05,179.3167,24.85,92,100,17.81,RU,2022-04-30 19:33:23,light snow
39,Albany,42.6001,-73.9662,64.02,27,89,1.99,US,2022-04-30 19:33:24,overcast clouds
40,New Norfolk,-42.7826,147.0587,56.91,79,100,3.0,AU,2022-04-30 19:33:24,overcast clouds
41,Kalabo,-14.97,22.6814,63.9,50,0,5.06,ZM,2022-04-30 19:33:25,clear sky
42,Barrow,71.2906,-156.7887,17.62,79,20,13.8,US,2022-04-30 19:31:56,haze
43,Saint-Augustin,51.226,-58.6502,38.88,88,100,15.93,CA,2022-04-30 19:33:26,overcast clouds
44,Funtua,11.5233,7.3081,82.15,51,87,16.44,NG,2022-04-30 19:33:26,overcast clouds
45,Lebu,-37.6167,-73.65,53.96,65,2,15.28,CL,2022-04-30 19:31:22,clear sky
46,Yanam,16.7333,82.2167,78.91,92,32,3.02,IN,2022-04-30 19:33:27,light rain
47,Talnakh,69.4865,88.3972,18.21,98,100,7.76,RU,2022-04-30 19:30:50,overcast clouds
48,Nabire,-3.3667,135.4833,74.77,92,64,4.07,ID,2022-04-30 19:33:28,broken clouds
49,Saint George,37.1041,-113.5841,80.8,13,0,8.05,US,2022-04-30 19:32:53,clear sky
50,Rio Grande,-32.035,-52.0986,66.31,66,4,9.1,BR,2022-04-30 19:33:29,clear sky
51,Gondar,12.6,37.4667,72.88,19,60,2.46,ET,2022-04-30 19:28:43,broken clouds
52,Bredasdorp,-34.5322,20.0403,56.03,86,11,5.48,ZA,2022-04-30 19:33:29,few clouds
53,Syamzha,60.0158,41.0614,25.21,89,59,4.74,RU,2022-04-30 19:33:30,broken clouds
54,Bethel,41.3712,-73.414,65.01,34,0,5.75,US,2022-04-30 19:33:30,clear sky
55,Lavrentiya,65.5833,-171.0,25.86,87,100,15.26,RU,2022-04-30 19:33:31,overcast clouds
56,Katsuura,35.1333,140.3,56.97,73,100,9.55,JP,2022-04-30 19:33:31,overcast clouds
57,Zhigansk,66.7697,123.3711,30.81,97,100,31.97,RU,2022-04-30 19:33:32,snow
58,Sturgeon Falls,46.3646,-79.9326,60.76,39,89,3.62,CA,2022-04-30 19:33:32,overcast clouds
59,Vila Franca Do Campo,37.7167,-25.4333,64.81,74,14,4.7,PT,2022-04-30 19:28:52,few clouds
