,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ust-Uda,54.1742,103.0304,50.85,82,99,1.39,RU,2022-04-30 18:58:48
1,Birin,26.8865,88.0718,57.6,84,100,4.83,NP,2022-04-30 18:58:48
2,Rikitea,-23.1203,-134.9692,75.87,75,53,12.26,PF,2022-04-30 18:58:49
3,Punta Arenas,-53.15,-70.9167,44.71,70,40,9.22,CL,2022-04-30 18:57:42
4,Vestmannaeyjar,63.4427,-20.2734,47.39,81,75,20.71,IS,2022-04-30 18:58:50
5,Busselton,-33.65,115.3333,55.24,86,0,5.44,AU,2022-04-30 18:58:50
6,Port Elizabeth,-33.918,25.5701,62.89,77,0,17.27,ZA,2022-04-30 18:58:51
7,Ancud,-41.8697,-73.8203,52.02,77,100,7.45,CL,2022-04-30 18:57:02
8,Albany,42.6001,-73.9662,62.92,27,89,6.69,US,2022-04-30 18:56:52
9,Itapora,-22.0799,-54.7874,89.44,36,71,5.19,BR,2022-04-30 18:58:52
10,Egvekinot,66.3167,-179.1667,14.61,83,100,10.11,RU,2022-04-30 18:58:52
11,Kruisfontein,-34.0033,24.7314,55.89,86,8,8.03,ZA,2022-04-30 18:57:47
12,Larreynaga,12.6769,-86.5719,96.82,32,93,5.41,NI,2022-04-30 18:58:53
13,Meadow Lake,34.8014,-106.5436,72.97,13,0,6.38,US,2022-04-30 18:58:53
14,Salinopolis,-0.6136,-47.3561,80.6,81,43,7.94,BR,2022-04-30 18:58:54
15,Port Hedland,-20.3167,118.5667,73.45,64,100,5.75,AU,2022-04-30 18:58:54
16,Tuktoyaktuk,69.4541,-133.0374,30.2,74,20,6.91,CA,2022-04-30 18:58:55
17,Hithadhoo,-0.6,73.0833,85.53,68,100,14.94,MV,2022-04-30 18:58:55
18,Hay River,60.8156,-115.7999,31.98,69,0,11.5,CA,2022-04-30 18:58:56
19,Alice Springs,-23.7,133.8833,56.75,72,40,6.91,AU,2022-04-30 18:58:56
20,Khatanga,71.9667,102.5,6.01,97,94,8.21,RU,2022-04-30 18:58:57
21,Dikson,73.5069,80.5464,16.25,95,100,17.81,RU,2022-04-30 18:58:58
22,Cabo San Lucas,22.8909,-109.9124,85.6,52,81,6.42,MX,2022-04-30 18:53:58
23,Kavieng,-2.5744,150.7967,81.91,74,100,3.15,PG,2022-04-30 18:58:58
24,Narsaq,60.9167,-46.05,46.85,58,16,3.56,GL,2022-04-30 18:55:58
25,Norman Wells,65.282,-126.8329,41.04,56,0,11.5,CA,2022-04-30 18:56:50
26,Saint-Philippe,-21.3585,55.7679,78.39,79,10,11.81,RE,2022-04-30 18:57:24
27,Mar Del Plata,-38.0023,-57.5575,57.22,50,0,8.05,AR,2022-04-30 18:58:59
28,Nikolskoye,59.7035,30.7861,39.09,66,100,5.86,RU,2022-04-30 18:59:00
29,Yellowknife,62.456,-114.3525,32.56,51,0,4.61,CA,2022-04-30 18:56:45
30,Luena,-11.7833,19.9167,62.01,62,75,4.56,AO,2022-04-30 18:59:01
31,Zemio,5.0314,25.1361,69.08,97,100,3.67,CF,2022-04-30 18:59:01
32,Phalaborwa,-23.943,31.1411,72.68,74,3,14.41,ZA,2022-04-30 18:54:17
33,Huarmey,-10.0681,-78.1522,72.86,73,59,10.89,PE,2022-04-30 18:59:02
34,Faanui,-16.4833,-151.75,81.28,72,10,16.17,PF,2022-04-30 18:57:12
35,Sorland,67.667,12.6934,37.0,61,25,5.3,NO,2022-04-30 18:59:03
36,Barrow,71.2906,-156.7887,23.5,91,99,2.66,US,2022-04-30 18:59:03
37,San Angelo,31.4638,-100.437,82.94,19,0,11.01,US,2022-04-30 18:56:31
38,Cape Town,-33.9258,18.4232,61.27,75,0,8.05,ZA,2022-04-30 18:55:01
39,Kaspiyskiy,45.3929,47.3707,59.36,69,3,3.04,RU,2022-04-30 18:59:04
40,Vaini,-21.2,-175.2,75.36,100,100,6.91,TO,2022-04-30 18:59:04
41,Aswan,24.0934,32.907,91.24,7,6,13.31,EG,2022-04-30 18:57:06
42,Ogbomosho,8.133,4.25,81.54,61,26,4.65,NG,2022-04-30 18:59:05
43,Mataura,-46.1927,168.8643,63.48,87,100,3.71,NZ,2022-04-30 18:59:06
44,Namatanai,-3.6667,152.4333,78.55,82,96,3.09,PG,2022-04-30 18:59:06
45,San Patricio,28.017,-97.5169,86.09,56,94,15.28,US,2022-04-30 18:59:07
46,Santa Cruz,-17.8,-63.1667,82.45,54,40,8.05,BO,2022-04-30 18:59:07
47,Qaqortoq,60.7167,-46.0333,41.25,73,34,3.0,GL,2022-04-30 18:59:08
48,Ushuaia,-54.8,-68.3,40.66,81,0,3.44,AR,2022-04-30 18:54:32
49,Boende,-0.2167,20.8667,74.52,81,14,0.92,CD,2022-04-30 18:59:09
50,Upernavik,72.7868,-56.1549,20.14,64,90,4.7,GL,2022-04-30 18:56:52
51,Bambous Virieux,-20.3428,57.7575,77.25,83,40,12.66,MU,2022-04-30 18:59:09
52,Bethel,41.3712,-73.414,64.63,36,33,4.0,US,2022-04-30 18:59:10
53,Pangnirtung,66.1451,-65.7125,21.2,79,100,3.44,CA,2022-04-30 18:59:10
54,Manutuke,-38.6833,177.9167,49.68,90,2,5.59,NZ,2022-04-30 18:59:11
55,Sept-Iles,50.2001,-66.3821,48.06,55,75,16.11,CA,2022-04-30 18:56:59
56,Isangel,-19.55,169.2667,73.51,94,100,4.61,VU,2022-04-30 18:59:12
57,Port Hardy,50.6996,-127.4199,51.98,71,40,11.5,CA,2022-04-30 18:54:19
58,Ponta Do Sol,32.6667,-17.1,70.72,65,0,2.01,PT,2022-04-30 18:59:12
59,Clyde River,70.4692,-68.5914,16.03,86,100,8.05,CA,2022-04-30 18:59:13
60,Miyako,39.6367,141.9525,44.06,78,100,9.91,JP,2022-04-30 18:59:13
61,Hobart,-42.8794,147.3294,57.06,86,40,13.8,AU,2022-04-30 18:55:06
62,Abnub,27.2696,31.1511,83.77,16,0,11.59,EG,2022-04-30 18:59:14
63,Longyearbyen,78.2186,15.6401,12.04,57,0,6.91,SJ,2022-04-30 18:59:15
64,Terney,45.0503,136.6092,38.64,92,100,6.67,RU,2022-04-30 18:59:15
65,Hermanus,-34.4187,19.2345,59.29,86,100,4.12,ZA,2022-04-30 18:59:16
66,Souillac,-20.5167,57.5167,77.38,83,40,12.66,MU,2022-04-30 18:58:39
67,La Massana,42.5667,1.4833,47.64,90,99,6.04,AD,2022-04-30 18:59:17
68,Naze,28.3667,129.4833,65.32,75,100,12.68,JP,2022-04-30 18:59:18
69,Atuona,-9.8,-139.0333,78.89,76,6,13.89,PF,2022-04-30 18:56:35
70,Snyder,32.7179,-100.9176,77.09,12,0,10.36,US,2022-04-30 18:59:19
71,Dalianwan,39.0286,121.695,53.64,43,0,11.18,CN,2022-04-30 18:59:19
72,Butaritari,3.0707,172.7902,80.53,83,100,13.18,KI,2022-04-30 18:59:20
73,Calvinia,-31.4707,19.776,56.55,43,14,3.62,ZA,2022-04-30 18:56:17
74,New Norfolk,-42.7826,147.0587,56.7,80,100,5.99,AU,2022-04-30 18:59:21
75,Komsomolskiy,40.4272,71.7189,70.52,56,89,9.22,UZ,2022-04-30 18:57:54
76,Beisfjord,68.3751,17.5988,33.85,92,100,1.36,NO,2022-04-30 18:59:22
77,Georgetown,5.4112,100.3354,82.35,89,20,3.44,MY,2022-04-30 18:58:37
78,Winfield,37.2398,-96.9956,66.51,45,37,23.35,US,2022-04-30 18:59:23
79,Imbituba,-28.24,-48.6703,70.86,66,91,13.56,BR,2022-04-30 18:59:23
80,Zonguldak,41.25,31.8333,48.92,99,100,2.35,TR,2022-04-30 18:59:24
81,Avarua,-21.2078,-159.775,80.65,83,40,9.22,CK,2022-04-30 18:56:57
82,Comodoro Rivadavia,-45.8667,-67.5,49.86,66,40,13.8,AR,2022-04-30 18:59:24
83,San Jose,37.3394,-121.895,74.48,57,0,13.8,US,2022-04-30 18:57:42
84,Sola,-13.8833,167.55,74.07,94,40,0.0,VU,2022-04-30 18:59:25
85,Grand Gaube,-20.0064,57.6608,77.4,79,4,16.53,MU,2022-04-30 18:59:26
86,Kodiak,57.79,-152.4072,37.63,98,100,29.71,US,2022-04-30 18:54:57
87,Bathsheba,13.2167,-59.5167,86.61,70,20,18.41,BB,2022-04-30 18:59:27
88,Derzhavinsk,51.1,66.3167,62.85,57,100,9.33,KZ,2022-04-30 18:59:27
89,Mayskiy,47.6931,40.1025,54.81,63,94,14.32,RU,2022-04-30 18:59:27
90,Mastic Beach,40.7668,-72.8521,65.57,28,59,5.01,US,2022-04-30 18:59:28
91,Coahuayana,18.7333,-103.6833,88.74,38,20,8.7,MX,2022-04-30 18:59:28
92,Jamestown,42.097,-79.2353,65.52,22,0,7.0,US,2022-04-30 18:55:52
93,Castro,-24.7911,-50.0119,69.73,77,47,2.62,BR,2022-04-30 18:59:29
94,San Cristobal,7.7669,-72.225,84.38,77,100,7.02,VE,2022-04-30 18:59:30
95,Abha,18.2164,42.5053,66.02,82,0,0.0,SA,2022-04-30 18:55:49
96,Najran,17.4924,44.1277,83.05,32,9,4.81,SA,2022-04-30 18:57:04
97,Flinders,-34.5833,150.8552,56.05,77,0,1.99,AU,2022-04-30 18:59:31
98,Ribeira Grande,38.5167,-28.7,66.6,72,20,11.5,PT,2022-04-30 18:57:53
99,Half Moon Bay,37.4636,-122.4286,74.53,69,75,28.77,US,2022-04-30 18:57:34
100,Modica,36.8459,14.774,58.23,65,100,6.44,IT,2022-04-30 18:59:32
101,Asau,46.4333,26.4,48.96,82,61,2.93,RO,2022-04-30 18:59:32
102,Atbasar,51.8,68.3333,61.11,56,100,15.77,KZ,2022-04-30 18:59:33
103,Marystown,47.1666,-55.1483,45.64,80,100,7.76,CA,2022-04-30 18:57:06
104,Constitucion,-35.3333,-72.4167,60.69,50,3,14.9,CL,2022-04-30 18:57:28
105,Malabo,3.75,8.7833,80.71,84,5,8.93,GQ,2022-04-30 18:58:21
106,Gamba,-2.65,10.0,78.06,85,98,7.27,GA,2022-04-30 18:59:34
107,The Valley,18.217,-63.0578,83.1,89,75,8.05,AI,2022-04-30 18:59:35
