,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,-46.6,168.3333,64.8,66,100,14.05,NZ,moderate rain
1,Souillac,-20.5167,57.5167,77.38,83,40,6.91,MU,scattered clouds
2,Letnyaya Stavka,45.4306,43.4472,58.96,72,100,6.73,RU,overcast clouds
3,Vaini,-21.2,-175.2,77.16,94,100,9.22,TO,light intensity drizzle
4,Cape Town,-33.9258,18.4232,60.91,79,0,4.61,ZA,clear sky
5,Busselton,-33.65,115.3333,54.99,87,0,5.82,AU,clear sky
6,Katangli,51.7102,143.2326,30.07,98,100,5.99,RU,light snow
7,Nanortalik,60.1432,-45.2371,38.01,84,98,1.14,GL,overcast clouds
8,Fortuna,40.5982,-124.1573,56.66,85,100,9.22,US,overcast clouds
9,Dikson,73.5069,80.5464,16.43,94,100,18.54,RU,light snow
10,Mehamn,71.0357,27.8492,28.35,86,75,9.22,NO,light snow
11,Hualmay,-11.0964,-77.6139,70.93,75,71,9.86,PE,broken clouds
12,Ushuaia,-54.8,-68.3,40.66,87,0,3.44,AR,clear sky
13,Chokurdakh,70.6333,147.9167,12.56,94,31,7.94,RU,scattered clouds
14,Muros,42.7762,-9.0603,61.09,91,1,2.21,ES,clear sky
15,Mar Del Plata,-38.0023,-57.5575,57.22,56,0,11.5,AR,clear sky
16,Provideniya,64.3833,-173.3,30.7,91,100,15.73,RU,light snow
17,Tigil,57.8,158.6667,26.82,96,94,1.79,RU,overcast clouds
18,Longyearbyen,78.2186,15.6401,12.04,57,0,4.61,SJ,clear sky
19,Faanui,-16.4833,-151.75,81.3,72,9,15.73,PF,light rain
20,Kavieng,-2.5744,150.7967,81.41,75,100,3.18,PG,light rain
21,Vila Velha,-20.3297,-40.2925,84.15,79,20,9.22,BR,few clouds
22,Shimoda,34.6667,138.95,52.11,67,100,6.17,JP,overcast clouds
23,Clyde River,70.4692,-68.5914,16.03,86,100,6.91,CA,overcast clouds
24,Arraial Do Cabo,-22.9661,-42.0278,76.86,78,75,5.75,BR,broken clouds
25,Rikitea,-23.1203,-134.9692,75.92,76,51,12.15,PF,moderate rain
26,Kodiak,57.79,-152.4072,37.74,98,100,28.54,US,moderate rain
27,Cockburn Town,21.4612,-71.1419,82.36,57,40,17.27,TC,scattered clouds
28,Sibu,2.3,111.8167,77.31,88,40,2.3,MY,scattered clouds
29,Auki,-8.7676,160.7034,78.67,84,100,0.83,SB,overcast clouds
30,Brod,45.1375,17.9897,53.65,87,7,3.87,BA,clear sky
31,Barrow,71.2906,-156.7887,17.62,79,20,13.8,US,haze
32,Yellowknife,62.456,-114.3525,34.32,47,0,5.75,CA,clear sky
33,Lavrentiya,65.5833,-171.0,25.86,87,100,15.26,RU,overcast clouds
34,Georgetown,5.4112,100.3354,82.35,89,20,3.44,MY,few clouds
35,Guerrero Negro,27.9769,-114.0611,68.47,57,80,15.28,MX,broken clouds
36,San Cristobal,7.7669,-72.225,84.38,82,100,6.49,VE,overcast clouds
37,Necochea,-38.5473,-58.7368,57.31,43,8,7.74,AR,clear sky
38,Berezovyy,51.6667,135.7,26.83,92,100,3.29,RU,overcast clouds
39,Mataura,-46.1927,168.8643,64.47,86,100,3.8,NZ,light rain
40,Thompson,55.7435,-97.8558,41.16,60,100,11.5,CA,overcast clouds
41,Carnarvon,-24.8667,113.6333,64.47,55,0,8.05,AU,clear sky
42,Jamestown,42.097,-79.2353,67.51,23,100,4.0,US,overcast clouds
43,Vardo,70.3705,31.1107,28.09,65,90,16.82,NO,light snow
44,Bredasdorp,-34.5322,20.0403,56.03,86,11,5.48,ZA,few clouds
45,Ndungu,-4.3667,38.05,71.69,87,100,3.58,TZ,overcast clouds
46,El Progreso,15.4,-87.8,94.75,46,40,11.5,HN,scattered clouds
47,Mahebourg,-20.4081,57.7,77.29,83,40,6.91,MU,scattered clouds
48,Norman Wells,65.282,-126.8329,44.64,53,0,11.5,CA,clear sky
49,Albany,42.6001,-73.9662,64.02,26,89,3.0,US,overcast clouds
50,Corrente,-3.7367,-43.3394,77.07,92,99,1.97,BR,overcast clouds
51,Burgersdorp,-30.9977,26.3286,50.36,50,0,7.25,ZA,clear sky
52,Santa Rosa,14.3122,121.1114,82.38,78,100,7.38,PH,overcast clouds
53,Tasiilaq,65.6145,-37.6368,34.11,63,10,0.56,GL,clear sky
54,Biak,-0.9131,122.8766,76.53,86,97,3.38,ID,overcast clouds
55,Saint George,37.1041,-113.5841,81.79,13,100,3.0,US,overcast clouds
56,Bria,6.5423,21.9863,74.14,80,100,3.47,CF,overcast clouds
57,Carbondale,37.7273,-89.2168,75.49,61,100,18.41,US,overcast clouds
58,Okha,53.5739,142.9478,30.38,98,100,4.52,RU,light snow
59,Hakkari,37.5833,44.1667,48.4,86,90,1.77,TR,light rain
60,Hobart,-42.8794,147.3294,57.06,73,100,5.75,AU,overcast clouds
61,Victoria,22.2855,114.1577,76.24,88,100,15.01,HK,light rain
62,Kushima,31.4583,131.2333,60.48,82,100,4.47,JP,overcast clouds
63,Ivrea,45.4672,7.8762,59.9,68,99,5.46,IT,overcast clouds
64,Ixtapa,20.7,-105.2,94.17,20,93,9.15,MX,overcast clouds
65,Los Llanos De Aridane,28.6585,-17.9182,64.15,80,20,13.8,ES,few clouds
66,Tiznit,29.5833,-9.5,70.02,36,0,4.41,MA,clear sky
67,Atlantis,-33.5667,18.4834,58.98,84,72,5.08,ZA,broken clouds
68,Deputatskiy,69.3,139.9,6.98,86,24,2.84,RU,few clouds
69,Huntsville,34.7304,-86.5861,81.39,61,100,14.97,US,overcast clouds
70,Jieshi,22.8134,115.8257,74.95,91,100,16.13,CN,overcast clouds
71,Bereda,43.2686,-7.5406,56.14,90,12,2.98,ES,few clouds
72,Kemijarvi,66.7131,27.4306,25.07,89,87,2.3,FI,overcast clouds
73,Qaqortoq,60.7167,-46.0333,41.13,74,40,2.37,GL,scattered clouds
74,Sao Joao Da Barra,-21.6403,-41.0511,77.09,79,12,11.07,BR,few clouds
75,Esna,25.2934,32.554,89.62,11,99,10.04,EG,overcast clouds
76,Kapaa,22.0752,-159.319,78.78,78,100,5.01,US,overcast clouds
77,Ilulissat,69.2167,-51.1,19.36,76,5,10.63,GL,clear sky
78,Hermanus,-34.4187,19.2345,58.93,86,79,3.0,ZA,broken clouds
79,Ostrovnoy,68.0531,39.5131,18.36,83,93,10.4,RU,overcast clouds
80,El Tular,18.1583,-93.35,99.36,36,17,7.67,MX,few clouds
81,Hilo,19.7297,-155.09,77.29,93,100,5.75,US,light rain
82,Mogzon,51.7435,111.9606,35.08,94,43,2.44,RU,scattered clouds
83,Arlit,18.7369,7.3853,92.88,7,100,6.44,NE,overcast clouds
84,Pevek,69.7008,170.3133,1.87,98,100,4.94,RU,overcast clouds
85,Punta Arenas,-53.15,-70.9167,44.71,76,40,9.22,CL,scattered clouds
86,Serenje,-13.2325,30.2352,56.61,87,3,4.52,ZM,clear sky
87,Palu,-0.8917,119.8707,76.23,93,98,3.38,ID,overcast clouds
88,Sagay,10.9447,123.4242,80.65,80,100,8.28,PH,overcast clouds
89,Talnakh,69.4865,88.3972,18.21,98,100,7.76,RU,overcast clouds
90,Saint-Philippe,-21.3585,55.7679,76.59,79,9,11.48,RE,clear sky
91,Mandali,33.7499,45.5541,79.81,31,93,3.47,IQ,overcast clouds
