City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-04-20 22:44:24,-38.0023,-57.5575,64.42,92,0,10.0
1,Vila,PT,2022-04-20 22:49:16,42.0304,-8.1588,38.28,77,17,3.56
2,Ostrovnoy,RU,2022-04-20 22:49:17,68.0531,39.5131,33.12,94,100,9.57
3,Thompson,CA,2022-04-20 22:49:17,55.7435,-97.8558,33.96,51,75,13.8
4,Atuona,PF,2022-04-20 22:49:17,-9.8,-139.0333,79.57,74,43,17.78
5,Hobart,AU,2022-04-20 22:45:02,-42.8794,147.3294,51.66,72,75,8.05
6,Ribeira Grande,PT,2022-04-20 22:49:18,38.5167,-28.7,59.7,67,8,4.16
7,Cape Town,ZA,2022-04-20 22:49:19,-33.9258,18.4232,65.26,92,100,7.0
8,Bluff,NZ,2022-04-20 22:48:08,-46.6,168.3333,59.81,93,91,15.82
9,Cabo San Lucas,MX,2022-04-20 22:49:19,22.8909,-109.9124,77.05,69,0,5.99
10,Tasiilaq,GL,2022-04-20 22:49:20,65.6145,-37.6368,32.16,93,74,4.21
11,Jiazi,CN,2022-04-20 22:49:20,22.8779,116.067,68.88,87,100,5.37
12,Kodiak,US,2022-04-20 22:49:21,57.79,-152.4072,42.31,81,75,6.91
13,Ilulissat,GL,2022-04-20 22:49:21,69.2167,-51.1,15.82,48,23,8.05
14,Hithadhoo,MV,2022-04-20 22:49:21,-0.6,73.0833,82.54,70,97,2.71
15,Cayenne,GF,2022-04-20 22:49:22,4.9333,-52.3333,79.09,1,75,3.44
16,Kargasok,RU,2022-04-20 22:49:22,59.0556,80.8572,34.41,99,100,3.87
17,Qaanaaq,GL,2022-04-20 22:49:23,77.484,-69.3632,-3.03,84,100,5.79
18,Luchow,DE,2022-04-20 22:49:23,52.9667,11.15,45.73,87,99,7.09
19,Madan,BG,2022-04-20 22:49:23,41.5,24.95,34.72,88,47,4.92
20,Hajnowka,PL,2022-04-20 22:49:24,52.7433,23.5812,47.01,87,100,1.99
21,Ushuaia,AR,2022-04-20 22:49:24,-54.8,-68.3,46.06,71,75,14.97
22,Bethel,US,2022-04-20 22:49:25,41.3712,-73.414,56.75,41,0,8.05
23,Hami,CN,2022-04-20 22:49:25,42.8,93.45,56.55,13,78,11.54
24,Klaksvik,FO,2022-04-20 22:49:26,62.2266,-6.589,43.72,92,3,14.88
25,Llanes,ES,2022-04-20 22:49:26,43.4198,-4.7549,48.99,78,79,14.25
26,Kinna,SE,2022-04-20 22:49:26,57.5073,12.6946,50.45,64,69,7.47
27,Port Alfred,ZA,2022-04-20 22:49:27,-33.5906,26.891,71.56,65,14,8.99
28,Mujiayingzi,CN,2022-04-20 22:49:27,42.1167,118.7833,60.26,35,85,7.54
29,Souillac,MU,2022-04-20 22:49:28,-20.5167,57.5167,75.58,94,75,1.14
30,Cobija,BO,2022-04-20 22:49:28,-11.0267,-68.7692,74.71,95,80,2.59
31,Bredasdorp,ZA,2022-04-20 22:49:28,-34.5322,20.0403,63.45,68,100,3.24
32,Matagami,CA,2022-04-20 22:49:29,49.7502,-77.6328,39.31,28,0,3.44
33,Gerash,IR,2022-04-20 22:49:29,27.6652,54.1371,69.75,40,21,2.55
34,Ambulu,ID,2022-04-20 22:49:30,-8.345,113.6058,75.63,88,97,2.64
35,Roald,NO,2022-04-20 22:49:30,62.5833,6.1333,46.33,100,100,8.05
36,Alihe,CN,2022-04-20 22:49:31,50.5667,123.7167,36.37,56,88,3.31
37,Katsuura,JP,2022-04-20 22:49:31,35.1333,140.3,59.74,82,93,3.65
38,Norman Wells,CA,2022-04-20 22:49:31,65.282,-126.8329,35.64,27,0,3.44
39,Rikitea,PF,2022-04-20 22:48:56,-23.1203,-134.9692,78.71,71,3,19.75
40,Champerico,GT,2022-04-20 22:49:32,14.3,-91.9167,88.34,64,8,8.79
41,Bedesa,ET,2022-04-20 22:49:32,8.9,40.7833,62.71,79,22,4.54
42,Namibe,AO,2022-04-20 22:46:17,-15.1961,12.1522,76.1,83,90,4.52
43,Longyearbyen,SJ,2022-04-20 22:49:33,78.2186,15.6401,28.24,69,20,20.71
44,Talnakh,RU,2022-04-20 22:49:34,69.4865,88.3972,-2.74,92,48,4.34
45,Diofior,SN,2022-04-20 22:49:34,14.1833,-16.6667,75.31,50,69,6.15
46,Bambous Virieux,MU,2022-04-20 22:49:34,-20.3428,57.7575,76.21,94,75,1.14
47,Sambava,MG,2022-04-20 22:50:35,-14.2667,50.1667,76.33,97,100,18.99
48,Kapaa,US,2022-04-20 22:50:35,22.0752,-159.319,82.38,78,40,17.27
49,Bengkulu,ID,2022-04-20 22:50:36,-3.8004,102.2655,76.15,87,99,7.83
50,San Patricio,US,2022-04-20 22:50:36,28.017,-97.5169,84.18,61,69,20.2
51,Husavik,IS,2022-04-20 22:50:36,66.0449,-17.3389,41.99,89,92,9.33
52,Omboue,GA,2022-04-20 22:50:37,-1.5746,9.2618,78.21,91,98,3.02
53,Mataura,NZ,2022-04-20 22:48:08,-46.1927,168.8643,59.49,93,99,2.59
54,Punta Arenas,CL,2022-04-20 22:48:43,-53.15,-70.9167,48.31,71,75,20.71
55,Chavakkad,IN,2022-04-20 22:50:58,10.5333,76.05,82.2,84,56,2.95
56,Arraial Do Cabo,BR,2022-04-20 22:48:13,-22.9661,-42.0278,75.06,78,0,10.36
57,Nikolskoye,RU,2022-04-20 22:51:08,59.7035,30.7861,46.29,92,43,7.58
58,Valdivia,CL,2022-04-20 22:51:09,-39.8142,-73.2459,55.49,91,47,2.15
59,Petropavlovsk-Kamchatskiy,RU,2022-04-20 22:51:09,53.0452,158.6483,30.79,80,100,11.18
60,Tuktoyaktuk,CA,2022-04-20 22:51:10,69.4541,-133.0374,6.8,85,40,5.75
61,Mahebourg,MU,2022-04-20 22:51:10,-20.4081,57.7,76.24,94,75,1.14
62,Truth Or Consequences,US,2022-04-20 22:51:11,33.1284,-107.2528,89.83,5,0,17.27
63,Neiafu,TO,2022-04-20 22:51:21,-18.65,-173.9833,84.88,79,40,6.91
64,Victoria,HK,2022-04-20 22:46:31,22.2855,114.1577,73.94,85,92,5.01
65,Miranda,CO,2022-04-20 22:51:32,3.2499,-76.2281,68.94,90,62,1.61
66,Barcelos,PT,2022-04-20 22:51:32,41.5388,-8.6151,51.94,81,5,7.23
67,Albany,US,2022-04-20 22:48:10,42.6001,-73.9662,49.17,49,9,1.01
68,Laguna,US,2022-04-20 22:51:33,38.421,-121.4238,74.32,38,75,12.66
69,Cap-Aux-Meules,CA,2022-04-20 22:51:43,47.3821,-61.8597,42.85,65,75,17.27
70,Fortuna,US,2022-04-20 22:51:44,40.5982,-124.1573,58.12,82,75,9.22
71,Tiksi,RU,2022-04-20 22:51:44,71.6872,128.8694,10.69,96,100,4.81
72,Saint Anthony,US,2022-04-20 22:51:43,45.0205,-93.218,45.66,93,100,6.91
73,Zhicheng,CN,2022-04-20 22:51:55,30.2956,111.5047,60.71,83,0,2.46
74,Poronaysk,RU,2022-04-20 22:51:55,49.2167,143.1167,55.67,56,85,11.97
75,Puerto Ayora,EC,2022-04-20 22:51:56,-0.7393,-90.3518,76.96,87,100,7.58
76,Jamestown,US,2022-04-20 22:49:37,42.097,-79.2353,51.53,30,0,3.44
77,Sinnamary,GF,2022-04-20 22:52:04,5.3833,-52.95,77.0,90,100,10.49
78,Keetmanshoop,NA,2022-04-20 22:52:04,-26.5833,18.1333,68.7,32,9,14.38
79,Pangoa,PE,2022-04-20 22:52:05,-12.1167,-73.0,73.87,78,76,1.72
80,Tuatapere,NZ,2022-04-20 22:52:05,-46.1333,167.6833,57.31,93,100,10.67
81,Raudeberg,NO,2022-04-20 22:52:06,61.9875,5.1352,43.47,85,29,5.86
82,San Quintin,MX,2022-04-20 22:52:06,30.4833,-115.95,64.76,65,0,23.87
83,Lazarev,RU,2022-04-20 22:52:06,52.225,141.5131,31.55,98,100,7.43
84,Rantauprapat,ID,2022-04-20 22:52:07,2.1,99.8333,72.48,98,98,1.88
85,Hermanus,ZA,2022-04-20 22:52:07,-34.4187,19.2345,62.51,87,100,2.28
86,Enkhuizen,NL,2022-04-20 22:52:08,52.7,5.2833,52.0,79,16,4.0
87,Cockburn Town,TC,2022-04-20 22:52:08,21.4612,-71.1419,76.96,73,75,9.22
88,Alice Springs,AU,2022-04-20 22:52:09,-23.7,133.8833,58.55,44,30,6.91
89,Henties Bay,NA,2022-04-20 22:52:09,-22.116,14.2845,70.11,58,57,3.36
